                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 0.7455,                0.51117,                 1.1058,                0.99086,                0.98727,                0.98749,                0.83433,                0.94283,                0.51394,                  1.235,               0.007426,               0.007426,               0.007426
                     81,                0.73693,                0.50421,                 1.1027,                0.99186,                0.98653,                0.98736,                0.83369,                0.94791,                0.52351,                 1.2374,               0.007393,               0.007393,               0.007393
                     82,                0.73362,                0.50081,                 1.0973,                0.99233,                0.98576,                0.98743,                0.83294,                0.95168,                0.51687,                 1.2457,                0.00736,                0.00736,                0.00736
                     83,                0.74162,                0.50839,                 1.1029,                0.99204,                0.98615,                0.98741,                0.83335,                 0.9417,                 0.5195,                  1.232,               0.007327,               0.007327,               0.007327
                     84,                0.72719,                 0.4951,                 1.0996,                0.99145,                0.98665,                0.98747,                0.83391,                0.94511,                0.51438,                 1.2368,               0.007294,               0.007294,               0.007294
                     85,                0.73271,                0.49684,                 1.1019,                0.99272,                0.98657,                0.98757,                0.83255,                0.94197,                0.51283,                 1.2363,               0.007261,               0.007261,               0.007261
                     86,                0.72711,                0.49136,                 1.0954,                0.99179,                0.98769,                 0.9874,                 0.8341,                0.94374,                0.50732,                 1.2366,               0.007228,               0.007228,               0.007228
                     87,                 0.7242,                0.49304,                 1.0937,                0.99264,                0.98633,                0.98794,                0.83438,                0.94454,                0.50742,                 1.2369,               0.007195,               0.007195,               0.007195
                     88,                0.71584,                0.48661,                 1.0924,                0.99294,                0.98705,                0.98783,                0.83445,                 0.9367,                0.50015,                 1.2298,               0.007162,               0.007162,               0.007162
                     89,                0.73195,                0.49559,                 1.0998,                0.99289,                0.98634,                0.98775,                 0.8333,                0.94431,                0.50994,                 1.2372,               0.007129,               0.007129,               0.007129
                     90,                 0.7242,                0.48877,                 1.0984,                0.99202,                 0.9861,                0.98792,                  0.835,                 0.9364,                 0.5021,                 1.2301,               0.007096,               0.007096,               0.007096
                     91,                0.72985,                0.49157,                 1.0946,                 0.9921,                0.98677,                0.98775,                0.83366,                0.93418,                0.49927,                 1.2272,               0.007063,               0.007063,               0.007063
                     92,                0.72868,                0.48744,                 1.0976,                0.99194,                0.98695,                0.98789,                0.83453,                0.93398,                0.49728,                  1.224,                0.00703,                0.00703,                0.00703
                     93,                  0.729,                0.48873,                 1.0963,                 0.9916,                0.98665,                0.98794,                0.83364,                0.93053,                0.50136,                 1.2214,               0.006997,               0.006997,               0.006997
                     94,                   0.72,                0.48493,                 1.0934,                0.99176,                 0.9876,                0.98789,                0.83573,                  0.937,                0.49345,                 1.2346,               0.006964,               0.006964,               0.006964
                     95,                0.72412,                  0.492,                 1.0995,                0.99196,                0.98703,                0.98774,                0.83472,                0.93461,                0.49933,                 1.2281,               0.006931,               0.006931,               0.006931
                     96,                0.72281,                0.48019,                 1.0934,                 0.9923,                0.98616,                0.98794,                0.83598,                0.93579,                  0.504,                 1.2297,               0.006898,               0.006898,               0.006898
                     97,                 0.7262,                0.48174,                 1.0901,                0.99189,                  0.987,                0.98805,                0.83663,                 0.9318,                0.49615,                  1.229,               0.006865,               0.006865,               0.006865
                     98,                0.72665,                0.48254,                 1.0915,                0.99332,                0.98607,                0.98801,                0.83601,                0.93523,                0.49658,                 1.2262,               0.006832,               0.006832,               0.006832
                     99,                0.72235,                0.47847,                 1.0887,                0.99329,                0.98596,                0.98806,                 0.8366,                0.93512,                 0.5013,                 1.2219,               0.006799,               0.006799,               0.006799
                    100,                0.71529,                0.47756,                 1.0928,                0.99333,                0.98533,                0.98795,                0.83621,                0.93397,                 0.4982,                 1.2262,               0.006766,               0.006766,               0.006766
                    101,                0.72532,                0.48551,                 1.0999,                0.99336,                0.98599,                0.98789,                0.83649,                0.93091,                0.49496,                 1.2191,               0.006733,               0.006733,               0.006733
                    102,                0.72049,                0.48135,                 1.0886,                0.99286,                0.98653,                0.98798,                0.83641,                0.93282,                0.49044,                 1.2235,                 0.0067,                 0.0067,                 0.0067
                    103,                0.72469,                0.48145,                 1.0927,                0.99128,                0.98787,                0.98801,                0.83597,                0.92998,                0.48515,                 1.2232,               0.006667,               0.006667,               0.006667
                    104,                0.72932,                0.47848,                 1.0958,                0.99256,                0.98694,                0.98801,                0.83673,                0.92267,                0.48535,                 1.2153,               0.006634,               0.006634,               0.006634
                    105,                0.72235,                0.47886,                 1.0891,                0.99292,                 0.9866,                0.98795,                0.83704,                0.92809,                0.48879,                 1.2168,               0.006601,               0.006601,               0.006601
                    106,                0.72216,                0.47446,                 1.0903,                0.99283,                0.98676,                0.98806,                0.83659,                0.92655,                0.49158,                 1.2117,               0.006568,               0.006568,               0.006568
                    107,                0.71404,                0.47288,                 1.0898,                0.99195,                0.98777,                0.98809,                0.83725,                0.92273,                0.48369,                 1.2129,               0.006535,               0.006535,               0.006535
                    108,                0.71446,                0.46809,                 1.0872,                0.99289,                0.98712,                0.98807,                0.83711,                0.92295,                0.48189,                 1.2138,               0.006502,               0.006502,               0.006502
                    109,                0.72244,                0.47442,                  1.091,                0.99281,                0.98728,                0.98814,                0.83821,                0.92668,                0.48133,                 1.2154,               0.006469,               0.006469,               0.006469
                    110,                0.70809,                 0.4657,                 1.0826,                0.99296,                0.98693,                0.98804,                0.83904,                0.92151,                0.47817,                 1.2131,               0.006436,               0.006436,               0.006436
                    111,                0.72095,                0.47355,                 1.0927,                0.99311,                0.98729,                0.98806,                0.83732,                0.91918,                0.47944,                 1.2108,               0.006403,               0.006403,               0.006403
                    112,                0.71394,                0.47301,                 1.0905,                0.99299,                0.98758,                0.98805,                0.83628,                 0.9188,                0.48008,                 1.2084,                0.00637,                0.00637,                0.00637
                    113,                0.71488,                0.46914,                 1.0853,                 0.9928,                0.98778,                0.98807,                0.83698,                 0.9193,                0.48214,                 1.2094,               0.006337,               0.006337,               0.006337
                    114,                0.71058,                0.46912,                 1.0886,                0.99277,                0.98745,                0.98815,                0.83797,                0.92123,                0.48618,                 1.2095,               0.006304,               0.006304,               0.006304
                    115,                0.71824,                0.46744,                 1.0981,                0.99343,                0.98682,                 0.9881,                0.83742,                0.92286,                0.48178,                 1.2118,               0.006271,               0.006271,               0.006271
                    116,                0.72068,                0.46959,                 1.0913,                0.99338,                0.98678,                0.98805,                0.83785,                0.92362,                0.48187,                 1.2128,               0.006238,               0.006238,               0.006238
                    117,                0.70126,                0.45599,                 1.0794,                0.99351,                0.98689,                0.98808,                0.83818,                 0.9253,                0.47782,                 1.2176,               0.006205,               0.006205,               0.006205
                    118,                0.70879,                0.46416,                 1.0858,                0.99344,                0.98684,                0.98808,                0.83722,                0.92806,                0.47678,                 1.2204,               0.006172,               0.006172,               0.006172
                    119,                0.71176,                0.46244,                 1.0871,                0.99334,                0.98676,                  0.988,                 0.8369,                0.92756,                0.47538,                 1.2191,               0.006139,               0.006139,               0.006139
                    120,                0.70952,                0.46713,                 1.0876,                0.99274,                0.98718,                0.98815,                0.83754,                0.92716,                 0.4752,                 1.2166,               0.006106,               0.006106,               0.006106
                    121,                0.71756,                0.46458,                 1.0854,                0.99245,                0.98714,                0.98829,                0.83724,                 0.9263,                0.47498,                 1.2154,               0.006073,               0.006073,               0.006073
                    122,                0.71207,                0.46378,                 1.0889,                0.99185,                0.98796,                0.98821,                0.83842,                0.92607,                0.47418,                 1.2158,                0.00604,                0.00604,                0.00604
                    123,                0.70889,                0.46039,                 1.0825,                0.99214,                0.98755,                0.98804,                0.83932,                0.92163,                0.47222,                 1.2121,               0.006007,               0.006007,               0.006007
                    124,                0.69953,                0.45773,                 1.0823,                0.99373,                0.98628,                0.98803,                0.83821,                0.92109,                0.47284,                 1.2125,               0.005974,               0.005974,               0.005974
